N°,Parcours,Lieu,Langue,Question,Réponse
1,Mystère de Maillol,Statue Maillol,fr,Quel est le nom de la muse de Maillol ?,dina
1,Mystère de Maillol,Statue Maillol,en,What is the name of Maillol's muse?,dina
1,Mystère de Maillol,Statue Maillol,ca,Quin és el nom de la musa de Maillol?,dina
2,Mystère de Maillol,Musée Maillol,fr,Quel matériau Maillol utilisait-il principalement ?,bronze
2,Mystère de Maillol,Musée Maillol,en,What material did Maillol primarily use?,bronze
2,Mystère de Maillol,Musée Maillol,ca,Quin material utilitzava principalment Maillol?,bronze
3,Mystère de Maillol,Église Saint-Jean,fr,Quel élément artistique se trouve à l'intérieur ?,fresque
3,Mystère de Maillol,Église Saint-Jean,en,What artistic element is found inside?,fresco
3,Mystère de Maillol,Église Saint-Jean,ca,Quin element artístic hi ha dins?,fresc
4,Mystère de Maillol,Vieux Lavoir,fr,À quoi servait ce lieu dans le passé ?,laver
4,Mystère de Maillol,Vieux Lavoir,en,What was this place used for in the past?,washing
4,Mystère de Maillol,Vieux Lavoir,ca,Per a què servia aquest lloc abans?,rentar
5,Mystère de Maillol,Pont du Tech,fr,Quelle rivière traverse Banyuls ?,tech
5,Mystère de Maillol,Pont du Tech,en,Which river crosses Banyuls?,tech
5,Mystère de Maillol,Pont du Tech,ca,Quin riu travessa Banyuls?,tech
6,Mystère de Maillol,Place du Monument,fr,À qui est dédié le monument principal ?,maillol
6,Mystère de Maillol,Place du Monument,en,To whom is the main monument dedicated?,maillol
6,Mystère de Maillol,Place du Monument,ca,A qui està dedicat el monument principal?,maillol
7,Mystère de Maillol,Plage Centrale,fr,Quel artiste a peint la plage de Banyuls ?,derain
7,Mystère de Maillol,Plage Centrale,en,Which artist painted the Banyuls beach?,derain
7,Mystère de Maillol,Plage Centrale,ca,Quin artista va pintar la platja de Banyuls?,derain
8,Mystère de Maillol,Atelier Maillol,fr,Quel outil sculptural y est conservé ?,ciseau
8,Mystère de Maillol,Atelier Maillol,en,Which sculptural tool is preserved there?,chisel
8,Mystère de Maillol,Atelier Maillol,ca,Quina eina escultòrica s'hi conserva?,cisell
9,Mystère de Maillol,Jardin Méditerranéen,fr,Quel arbre typique y pousse abondamment ?,olivier
9,Mystère de Maillol,Jardin Méditerranéen,en,Which typical tree grows there abundantly?,olive
9,Mystère de Maillol,Jardin Méditerranéen,ca,Quin arbre típic hi creix en abundància?,olivera
10,Mystère de Maillol,Ancienne Voie Ferrée,fr,Quel moyen de transport passait ici autrefois ?,train
10,Mystère de Maillol,Ancienne Voie Ferrée,en,What form of transport used to pass here?,train
10,Mystère de Maillol,Ancienne Voie Ferrée,ca,Quin mitjà de transport passava per aquí?,tren
1,Mission Vin Mystère,Domaine Madeloc,fr,Combien de marches mènent au sommet ?,112
1,Mission Vin Mystère,Domaine Madeloc,en,How many steps lead to the top?,112
1,Mission Vin Mystère,Domaine Madeloc,ca,Quants graons porten al cim?,112
2,Mission Vin Mystère,Cave Abbé Rous,fr,Quel artiste a peint ici en plein air ?,maillol
2,Mission Vin Mystère,Cave Abbé Rous,en,Which artist painted here outdoors?,maillol
2,Mission Vin Mystère,Cave Abbé Rous,ca,Quin artista pintava aquí a l'aire lliure?,maillol
3,Mission Vin Mystère,Mas Reig,fr,Quel objet y était fabriqué autrefois ?,corde
3,Mission Vin Mystère,Mas Reig,en,What object used to be made here?,rope
3,Mission Vin Mystère,Mas Reig,ca,Quin objecte es fabricava aquí?,corda
4,Mission Vin Mystère,Terrasses des Balmettes,fr,Quel type de bateau a coulé ici ?,chalutier
4,Mission Vin Mystère,Terrasses des Balmettes,en,What kind of boat sank here?,trawler
4,Mission Vin Mystère,Terrasses des Balmettes,ca,Quin tipus de vaixell s'ha enfonsat aquí?,vaixell de bou
5,Mission Vin Mystère,Sentier du Vignoble,fr,Quel bois était le plus utilisé ?,chêne
5,Mission Vin Mystère,Sentier du Vignoble,en,Which wood was mostly used?,oak
5,Mission Vin Mystère,Sentier du Vignoble,ca,Quina fusta s'utilitzava més?,roure
6,Mission Vin Mystère,Clos Castell,fr,Quel poisson typique y était pêché ?,anchois
6,Mission Vin Mystère,Clos Castell,en,What typical fish was caught here?,anchovy
6,Mission Vin Mystère,Clos Castell,ca,Quin peix típic es pescava aquí?,anxova
7,Mission Vin Mystère,Cap Béar - Vignes en Restanques,fr,À quoi servait ce quai au XXe siècle ?,marchandises
7,Mission Vin Mystère,Cap Béar - Vignes en Restanques,en,What was this dock used for in the 20th century?,goods
7,Mission Vin Mystère,Cap Béar - Vignes en Restanques,ca,Per a què servia aquest moll al segle XX?,mercaderies
8,Mission Vin Mystère,Cave des Templiers,fr,Quel bâtiment emblématique y surplombe ?,mairie
8,Mission Vin Mystère,Cave des Templiers,en,Which emblematic building overlooks here?,town hall
8,Mission Vin Mystère,Cave des Templiers,ca,Quin edifici emblemàtic hi domina?,ajuntament
9,Mission Vin Mystère,Belvédère de la Côte Vermeille,fr,Quel élément naturel est visible à l'horizon ?,cap bear
9,Mission Vin Mystère,Belvédère de la Côte Vermeille,en,What natural feature is seen on the horizon?,cap bear
9,Mission Vin Mystère,Belvédère de la Côte Vermeille,ca,Quin element natural es veu a l'horitzó?,cap bear
10,Mission Vin Mystère,Maison du Vin de Banyuls,fr,Qui gère le trafic maritime ici ?,capitaine
10,Mission Vin Mystère,Maison du Vin de Banyuls,en,Who manages the maritime traffic here?,captain
10,Mission Vin Mystère,Maison du Vin de Banyuls,ca,Qui gestiona el trànsit marítim aquí?,capità
1,Secrets du Vieux Port,Domaine Madeloc,fr,Combien de marches mènent au sommet ?,112
1,Secrets du Vieux Port,Domaine Madeloc,en,How many steps lead to the top?,112
1,Secrets du Vieux Port,Domaine Madeloc,ca,Quants graons porten al cim?,112
2,Secrets du Vieux Port,Cave Abbé Rous,fr,Quel artiste a peint ici en plein air ?,maillol
2,Secrets du Vieux Port,Cave Abbé Rous,en,Which artist painted here outdoors?,maillol
2,Secrets du Vieux Port,Cave Abbé Rous,ca,Quin artista pintava aquí a l'aire lliure?,maillol
3,Secrets du Vieux Port,Mas Reig,fr,Quel objet y était fabriqué autrefois ?,corde
3,Secrets du Vieux Port,Mas Reig,en,What object used to be made here?,rope
3,Secrets du Vieux Port,Mas Reig,ca,Quin objecte es fabricava aquí?,corda
4,Secrets du Vieux Port,Terrasses des Balmettes,fr,Quel type de bateau a coulé ici ?,chalutier
4,Secrets du Vieux Port,Terrasses des Balmettes,en,What kind of boat sank here?,trawler
4,Secrets du Vieux Port,Terrasses des Balmettes,ca,Quin tipus de vaixell s'ha enfonsat aquí?,vaixell de bou
5,Secrets du Vieux Port,Sentier du Vignoble,fr,Quel bois était le plus utilisé ?,chêne
5,Secrets du Vieux Port,Sentier du Vignoble,en,Which wood was mostly used?,oak
5,Secrets du Vieux Port,Sentier du Vignoble,ca,Quina fusta s'utilitzava més?,roure
6,Secrets du Vieux Port,Clos Castell,fr,Quel poisson typique y était pêché ?,anchois
6,Secrets du Vieux Port,Clos Castell,en,What typical fish was caught here?,anchovy
6,Secrets du Vieux Port,Clos Castell,ca,Quin peix típic es pescava aquí?,anxova
7,Secrets du Vieux Port,Cap Béar - Vignes en Restanques,fr,À quoi servait ce quai au XXe siècle ?,marchandises
7,Secrets du Vieux Port,Cap Béar - Vignes en Restanques,en,What was this dock used for in the 20th century?,goods
7,Secrets du Vieux Port,Cap Béar - Vignes en Restanques,ca,Per a què servia aquest moll al segle XX?,mercaderies
8,Secrets du Vieux Port,Cave des Templiers,fr,Quel bâtiment emblématique y surplombe ?,mairie
8,Secrets du Vieux Port,Cave des Templiers,en,Which emblematic building overlooks here?,town hall
8,Secrets du Vieux Port,Cave des Templiers,ca,Quin edifici emblemàtic hi domina?,ajuntament
9,Secrets du Vieux Port,Belvédère de la Côte Vermeille,fr,Quel élément naturel est visible à l'horizon ?,cap bear
9,Secrets du Vieux Port,Belvédère de la Côte Vermeille,en,What natural feature is seen on the horizon?,cap bear
9,Secrets du Vieux Port,Belvédère de la Côte Vermeille,ca,Quin element natural es veu a l'horitzó?,cap bear
10,Secrets du Vieux Port,Maison du Vin de Banyuls,fr,Qui gère le trafic maritime ici ?,capitaine
10,Secrets du Vieux Port,Maison du Vin de Banyuls,en,Who manages the maritime traffic here?,captain
10,Secrets du Vieux Port,Maison du Vin de Banyuls,ca,Qui gestiona el trànsit marítim aquí?,capità
